hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
Queen Street Blk 270 (Albert Centre),1.3011020159948925,103.85411577872539,86,Existing,"Blk 270, Queen Street, Singapore 180270",7/8/1978,HUP Standard Upgrading,0,86,0.2,Bugis,9.1,True,Central,Mega (80+),10.0
Market Street Hawker Centre,1.2839000647082708,103.85000596089957,53,Existing (replacement),,15/11/2021,New Replacement Centre,0,53,0.175,Raffles Place,9.2,True,Central,Large (40-80),10.0
Aljunied Ave 2 Blk 117 (Blk 117 Aljunied Market and Food Centre),1.3206463677515854,103.88702413972793,79,Existing,"Blk 117, Aljunied Ave 2, Singapore 380117",15/9/1978,HUP Standard Upgrading,0,79,0.659,Aljunied,7.0,False,North-East,Large (40-80),10.0
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.3590838409319475,103.88605536814947,66,Existing,"Blk 209, Hougang Street 21, Singapore 530209",30/9/1983,HUP Standard Upgrading,0,66,0.181,Kovan,9.2,True,North-East,Large (40-80),10.0
Serangoon Garden Market,1.3630850108080914,103.86672494953132,46,Existing,"49A, Serangoon Garden Way, Singapore 555945",1957,HUP Rebuilding,0,46,1.273,Lorong Chuan,4.3,False,Central,Large (40-80),8.0
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.3540827392695727,103.89013040811673,51,Existing,"Blk 105, Hougang Ave 1, Singapore 530105",30/6/1982,HUP Rebuilding,0,51,0.898,Kovan,6.0,False,North-East,Large (40-80),8.9
Clementi West Street 2 Blk 726,1.303810731977092,103.76425074802,60,Existing,"Blk 726, Clementi West Street 2, Singapore 120726",29/11/1980,HUP Standard Upgrading,0,60,1.27,Clementi,4.3,False,West,Large (40-80),8.8
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.3151075206359577,103.89558794497685,72,Existing,"Blk 13/14, Haig Road, Singapore 430013/430014",30/7/1977,HUP Reconfiguration,0,72,0.423,Paya Lebar,8.1,True,North-East,Large (40-80),10.0
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.3682477885076516,103.85636164972811,39,Existing,"Blk 453A, Ang Mo Kio Ave 10, Singapore 561453",11/4/1979,HUP Standard Upgrading,0,39,0.787,Ang Mo Kio,6.5,False,Central,Medium (20-40),8.1
Clementi Ave 2 Blk 353 (Clementi Ave 2 Market/Cooked Food Centre),1.3143732849239704,103.77080549454163,18,Existing,"Blk 353, Clementi Ave 2, Singapore 120353",26/1/1978,HUP Standard Upgrading,0,18,0.641,Clementi,7.1,False,West,Small (<20),5.9
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.3723194930318616,103.82901814509523,36,Existing,"590, Upper Thomson Road, Singapore 574419",1974,HUP Standard Upgrading,0,36,1.09,Mayflower,5.1,False,Central,Medium (20-40),7.7
Bedok Reservoir Road Blk 630,1.332772792382345,103.91419083989796,36,Existing,"Blk 630, Bedok Reservoir Road, Singapore 470630",30/6/1982,HUP Rebuilding,0,36,0.503,Bedok North,7.7,False,North-East,Medium (20-40),8.1
Shunfu Road Blk 320 (Shunfu Mart),1.3520255700711772,103.8369645086122,31,Existing,"Blk 320, Shunfu Road, Singapore 570320",25/5/2000,Not eligible for HUP,0,31,0.449,Marymount,8.0,True,Central,Medium (20-40),8.1
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.3208310935185843,103.74274811937117,28,Existing,"Blk 37A, Teban Garden Road, Singapore 601037",1/11/1976,HUP Rebuilding,0,28,1.367,Jurong East,3.8,False,West,Medium (20-40),5.5
New Upper Changi Road Blk 208B,1.324782370224249,103.93057030470072,70,Existing,"Blk 208B, New Upper Changi Road, Singapore 462208",15/11/2014,New Replacement Centre,0,70,0.108,Bedok,9.5,True,East,Large (40-80),10.0
Jurong East Ave 1 Blk 347 (Yuhua Market and Hawker Centre),1.3454169827607771,103.73170383842115,56,Existing,"Blk 347, Jurong East Ave 1, Singapore 600347",17/10/1984,HUP Standard Upgrading,0,56,0.34,Chinese Garden,8.5,True,West,Large (40-80),10.0
Anchorvale Village Hawker Centre,1.3967931535173355,103.88843734465244,36,Existing (new),,14/12/2023,New Centre,0,36,0.957,Sengkang,5.7,False,North,Medium (20-40),7.5
Ci Yuan Hawker Centre,1.3753225375634037,103.88293193010286,40,Existing (new),"51 Hougang Avenue 9, Singapore 538776",2/7/2015,New Centre,0,40,1.174,Hougang,4.7,False,North-East,Medium (20-40),7.6
Telok Blangah Rise Blk 36 (Telok Blangah Rise Market),1.2727612859808173,103.82236354225992,24,Existing,"Blk 36, Telok Blangah Rise, Singapore 090036",29/10/1975,HUP Standard Upgrading,0,24,0.821,Harbourfront,6.3,False,Central,Medium (20-40),6.5
Hawker Centre @ Our Tampines Hub,1.3531335979472119,103.94040813551574,42,Existing (new),"1 Tampines Walk, Singapore 528523",6/8/2016,New Centre,0,42,0.556,Tampines,7.5,False,East,Large (40-80),9.1
Taman Jurong Market and Food Centre,1.3347210666007077,103.72158379761716,122,Existing,"3, Yung Sheng Road, Singapore 618499",23/3/2005,HUP Rebuilding,0,122,1.038,Lakeside,5.3,False,West,Mega (80+),10.0
