hawker_name,latitude,longitude,no_of_food_stalls,status,address,est_completion,description,no_of_mkt_produce_stalls,total_stalls,nearest_mrt_km,nearest_mrt_station,accessibility_score,mrt_walkable,region,size_category,popularity_score
Holland Village Market and Food Centre,1.3110729744341822,103.79487641992755,21,Existing,"1, Lorong Mambong, Singapore 277700",Pre-War,HUP Rebuilding,0,21,0.149,Holland Village,9.3,True,Central,Medium (20-40),8.1
Changi Village Blk 2 and 3,1.3891516483342807,103.98824524769368,87,Existing,"Blk 2/3, Changi Village Road, Singapore 500002/500003",12/11/1975,HUP Standard Upgrading,0,87,3.531,Changi Airport,1.0,False,North,Mega (80+),10.0
Upper Boon Keng Road Blk 17 (Blk 17 Upper Boon Keng Market and Food Centre),1.3150284150824152,103.87162041651013,84,Existing,"Blk 17, Upper Boon Keng Road, Singapore 380017",28/2/1974,HUP Standard Upgrading,0,84,0.426,Kallang,8.1,True,North-East,Mega (80+),10.0
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.3332199326945382,103.93058152248236,42,Existing,"Blk 511, Bedok North Street 3, Singapore 460511",16/3/1979,HUP Standard Upgrading,0,42,0.377,Bedok Reservoir,8.3,True,East,Large (40-80),8.8
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.3721725853422009,103.84651030979788,45,Existing,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",31/1/1980,HUP Reconfiguration,0,45,0.411,Ang Mo Kio,8.2,True,Central,Large (40-80),10.0
Chomp Chomp Food Centre,1.3642325250966993,103.86652701707575,36,Existing,"20, Kensington Park Road, Singapore 557269",1972,HUP Standard Upgrading,0,36,1.393,Lorong Chuan,3.7,False,Central,Medium (20-40),7.4
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.2863059431906378,103.8044926373283,88,Existing,"Blk 120, Bukit Merah Lane, Singapore 150120",14/9/1978,HUP Standard Upgrading,0,88,0.896,Queenstown,6.0,False,Central,Mega (80+),10.0
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.3061866381546818,103.8505855697116,119,Existing,"Blk 665, Buffalo Road, Singapore 210665",31/10/1980,HUP Standard Upgrading,0,119,0.124,Little India,9.4,True,Central,Mega (80+),10.0
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.3381035143692974,103.84473272633905,40,Existing,"Blk 127, Lorong 1 Toa Payoh, Singapore 310127",11/3/1969,HUP Reconfiguration,0,40,0.344,Braddell,8.5,True,Central,Medium (20-40),9.5
Circuit Road Blk 79/79A,1.3265970669755378,103.88505228554148,106,Existing,"Blk 79/79A, Circuit Road, Singapore 370079/371079",31/3/1971,HUP Standard Upgrading,0,106,0.307,Mattar,8.6,True,North-East,Mega (80+),10.0
